Species1,Mass,Wing.Length,Tail.Length,Tarsus.Length,Beak.Length_Culmen,Beak.Width,Trophic.Niche,Classificação,Cluster
Myiodynastes maculatus,43.2,107.9,79.0,19.5,25.6,10.5,5,Não Classificado,0
Phyllomyias fasciatus,10.3,57.2,49.1,15.2,9.8,3.6,5,Insetívoro Pequeno,0
Pitangus sulphuratus,62.9,111.9,84.8,25.8,29.3,10.1,5,Não Classificado,0
Platyrinchus mystaceus,9.7,55.0,29.9,15.6,13.1,7.3,5,Insetívoro Pequeno,0
Poecilotriccus plumbeiceps,5.7,42.5,36.2,18.3,14.0,3.3,5,Insetívoro Pequeno,0
Sirystes sibilator,32.3,93.9,81.2,18.8,22.2,8.2,5,Insetívoro Pequeno,0
Hylatomus lineatus,183.2,185.9,123.6,28.5,41.6,11.0,1,Insetívoro Grande,1
Melanerpes candidus,108.0,157.2,96.5,24.6,34.7,7.7,1,Frugívoro Grande,1
Piculus aurulentus,75.0,118.6,71.2,19.6,25.7,7.1,5,Insetívoro Grande,0
Veniliornis spilogaster,40.3,96.0,53.0,16.2,23.8,5.6,5,Não Classificado,0
Pteroglossus castanotis,258.1,154.4,144.4,35.0,115.9,26.9,1,Frugívoro Grande,1
Brotogeris chiriri,61.6,115.0,89.0,11.3,21.2,8.9,5,Não Classificado,0
Psittacara leucophthalmus,158.0,172.3,145.6,15.4,25.7,16.5,1,Não Classificado,1
Pyrrhura frontalis,72.0,132.5,127.5,12.2,22.8,11.8,5,Não Classificado,0
Megascops choliba,132.0,162.8,91.3,30.0,21.8,7.0,1,Não Classificado,1
Pulsatrix koeniswaldiana,481.0,316.0,192.0,47.1,38.8,9.7,1,Não Classificado,1
Strix hylophila,345.4,242.1,152.0,46.2,27.7,9.9,1,Não Classificado,1
Crypturellus obsoletus,443.4,160.0,54.2,45.9,30.9,5.4,1,Não Classificado,1
Crypturellus tataupa,218.8,123.3,49.4,32.5,24.9,4.8,1,Não Classificado,1
Tinamus solitarius,1386.4,261.5,156.2,73.1,37.9,5.8,1,Não Classificado,2
Trogon rufus,53.8,113.1,130.9,13.1,19.9,8.9,3,Não Classificado,0
Trogon surrucura,73.3,137.5,139.5,15.5,19.4,9.5,3,Não Classificado,0
Trogon viridis,89.7,146.1,158.4,14.2,25.2,10.1,5,Frugívoro Grande,0
